id,label,parent,value
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae_Cobite_Cobitis taenia Linnaeus, 1758 ","Cobitis taenia Linnaeus, 1758 ",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae_Cobite,2
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae_Cobite mascherato,Cobite mascherato,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae,3
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae_Cobite mascherato_Sabanejewia larvata (De Filippi, 1859)","Sabanejewia larvata (De Filippi, 1859)",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae_Cobite mascherato,3
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,Cyprinidae,Chordata_OSTEICHTHYES_CYPRINIFORMES,29
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Alborella meridionale,Alborella meridionale,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,3
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Alborella meridionale_Alburnus albidus (Costa, 1838)","Alburnus albidus (Costa, 1838)",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Alborella meridionale,3
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Barbo,Barbo,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,3
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Barbo_Barbo plebejus (Bonaparte, 1839)","Barbo plebejus (Bonaparte, 1839)",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Barbo,3
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Barbo canino,Barbo canino,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,3
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Barbo canino_Barbus meridionalis Risso,1826","Barbus meridionalis Risso,1826",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Barbo canino,3
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Cavedano dell'Ombrone,Cavedano dell'Ombrone,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,3
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Cavedano dell'Ombrone_Leuciscus lucumonis Bianco, 1982","Leuciscus lucumonis Bianco, 1982",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Cavedano dell'Ombrone,3
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Lasca,Lasca,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,3
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Lasca_Chondrostoma genei (Bonaparte, 1839) ","Chondrostoma genei (Bonaparte, 1839) ",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Lasca,3
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Leucisco d'Albania,Leucisco d'Albania,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,1
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Leucisco d'Albania_Pachychilon pictum (Heckel & Kner, 1858)","Pachychilon pictum (Heckel & Kner, 1858)",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Leucisco d'Albania,1
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Naso,Naso,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,1
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Naso_Chondrostoma nasus (Linnaeus, 1758)","Chondrostoma nasus (Linnaeus, 1758)",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Naso,1
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Pigo,Pigo,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,2
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Pigo_Rutilus pigus (Lacépède, 1804)","Rutilus pigus (Lacépède, 1804)",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Pigo,2
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae_Rodeo amaro,Rodeo amaro,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cyprinidae,2
